filename,artist,album,trackNumber,title
01 - stand alone.flac,Iced Earth,Alive in Athens (Disc 3),1,Stand Alone
02 - cast in stone.flac,Iced Earth,Alive in Athens (Disc 3),2,Cast in Stone
03 - desert rain.flac,Iced Earth,Alive in Athens (Disc 3),3,Desert Rain
04 - brainwashed.flac,Iced Earth,Alive in Athens (Disc 3),4,Brainwashed
05 - disciples of the lie.flac,Iced Earth,Alive in Athens (Disc 3),5,Disciples of the Lie
06 - when the night falls.flac,Iced Earth,Alive in Athens (Disc 3),6,When the Night Falls
07 - diary.flac,Iced Earth,Alive in Athens (Disc 3),7,Diary
08 - blessed are you.flac,Iced Earth,Alive in Athens (Disc 3),8,Blessed Are You
09 - violate.flac,Iced Earth,Alive in Athens (Disc 3),9,Violate
