filename,artist,album,trackNumber,title
01 - iced earth.flac,Iced Earth,Iced Earth,1,Iced Earth
02 - written on the walls.flac,Iced Earth,Iced Earth,2,Written on the Walls
03 - colors.flac,Iced Earth,Iced Earth,3,Colors
04 - curse the sky.flac,Iced Earth,Iced Earth,4,Curse the Sky
05 - life and death.flac,Iced Earth,Iced Earth,5,Life and Death
06 - solitude.flac,Iced Earth,Iced Earth,6,Solitude
07 - funeral.flac,Iced Earth,Iced Earth,7,Funeral
08 - when the night falls.flac,Iced Earth,Iced Earth,8,When the Night Falls
