filename,artist,album,trackNumber,title
01 - iced earth.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),1,Iced Earth
02 - written on the walls.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),2,Written on the Walls
03 - colors.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),3,Colors
04 - curse the sky.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),4,Curse the Sky
05 - life and death.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),5,Life and Death
06 - solitude.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),6,Solitude
07 - funeral.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),7,Funeral
08 - when the night falls.flac,Iced Earth,Dark Genesis - Iced Earth (Disc 2),8,When the Night Falls
