filename,artist,album,trackNumber,title
01 - burnt offerings.flac,Iced Earth,Burnt Offerings,1,Burnt Offerings
02 - last december.flac,Iced Earth,Burnt Offerings,2,Last December
03 - diary.flac,Iced Earth,Burnt Offerings,3,Diary
04 - brainwashed.flac,Iced Earth,Burnt Offerings,4,Brainwashed
05 - burning oasis.flac,Iced Earth,Burnt Offerings,5,Burning Oasis
06 - creator failure.flac,Iced Earth,Burnt Offerings,6,Creator Failure
07 - the pierced spirit.flac,Iced Earth,Burnt Offerings,7,The Pierced Spirit
08 - dantes inferno.flac,Iced Earth,Burnt Offerings,8,Dantes Inferno
