filename,artist,album,trackNumber,title
01 - burnt offerings.flac,Iced Earth,Days of Purgatory (Disc 2),1,Burnt Offerings
02 - cast in stone.flac,Iced Earth,Days of Purgatory (Disc 2),2,Cast in Stone
03 - desert rain.flac,Iced Earth,Days of Purgatory (Disc 2),3,Desert Rain
04 - brainwashed.flac,Iced Earth,Days of Purgatory (Disc 2),4,Brainwashed
05 - life and death.flac,Iced Earth,Days of Purgatory (Disc 2),5,Life and Death
06 - creator failure.flac,Iced Earth,Days of Purgatory (Disc 2),6,Creator Failure
07 - reaching the end.flac,Iced Earth,Days of Purgatory (Disc 2),7,Reaching the End
08 - travel in stygian.flac,Iced Earth,Days of Purgatory (Disc 2),8,Travel in Stygian
09 - dantes inferno.flac,Iced Earth,Days of Purgatory (Disc 2),9,Dantes Inferno
10 - iced earth.flac,Iced Earth,Days of Purgatory (Disc 2),10,Iced Earth
