filename,artist,album,trackNumber,title
01 - the devil to pay.flac,Iced Earth,The Glorious Burden (Disc 2),1,The Devil to Pay
02 - hold at all costs.flac,Iced Earth,The Glorious Burden (Disc 2),2,Hold at All Costs
03 - high water mark.flac,Iced Earth,The Glorious Burden (Disc 2),3,High Water Mark
