filename,artist,album,trackNumber,title
01 - enter the realm.flac,Iced Earth,Dark Genesis - Enter the Realm (Disc 1),1,Enter the Realm
02 - colors.flac,Iced Earth,Dark Genesis - Enter the Realm (Disc 1),2,Colors
03 - nightmares.flac,Iced Earth,Dark Genesis - Enter the Realm (Disc 1),3,Nightmares
04 - curse the sky.flac,Iced Earth,Dark Genesis - Enter the Realm (Disc 1),4,Curse the Sky
05 - solitude.flac,Iced Earth,Dark Genesis - Enter the Realm (Disc 1),5,Solitude
06 - iced earth.flac,Iced Earth,Dark Genesis - Enter the Realm (Disc 1),6,Iced Earth
