filename,artist,album,trackNumber,title
01 - ten thousand strong.flac,Iced Earth,Overture of the Wicked,1,Ten Thousand Strong
02 - prophecy.flac,Iced Earth,Overture of the Wicked,2,Prophecy
03 - birth of the wicked.flac,Iced Earth,Overture of the Wicked,3,Birth of the Wicked
04 - the coming curse.flac,Iced Earth,Overture of the Wicked,4,The Coming Curse
