filename,artist,album,trackNumber,title
01 - melancholy holy martyr.flac,Iced Earth,The Melancholy (EP),1,Melancholy Holy Martyr
02 - shooting star.flac,Iced Earth,The Melancholy (EP),2,Shooting Star
03 - watching over me.flac,Iced Earth,The Melancholy (EP),3,Watching over Me
04 - electric funeral.flac,Iced Earth,The Melancholy (EP),4,Electric Funeral
05 - i died for you.flac,Iced Earth,The Melancholy (EP),5,I Died for You
06 - the ripper.flac,Iced Earth,The Melancholy (EP),6,The Ripper
07 - colors from alive in athens sessions.flac,Iced Earth,The Melancholy (EP),7,Colors from Alive in Athens Sessions
