filename,artist,album,trackNumber,title
01 - burnt offerings.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),1,Burnt Offerings
02 - last december.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),2,Last December
03 - diary.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),3,Diary
04 - brainwashed.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),4,Brainwashed
05 - burning oasis.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),5,Burning Oasis
06 - creator failure.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),6,Creator Failure
07 - the pierced spirit.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),7,The Pierced Spirit
08 - dantes inferno.flac,Iced Earth,Dark Genesis - Burnt Offerings (Disc 4),8,Dantes Inferno
