filename,artist,album,trackNumber,title
01 - dark saga.flac,Iced Earth,Alive in Athens (Disc 2),1,Dark Saga
02 - last laugh.flac,Iced Earth,Alive in Athens (Disc 2),2,Last Laugh
03 - last december.flac,Iced Earth,Alive in Athens (Disc 2),3,Last December
04 - watching over me.flac,Iced Earth,Alive in Athens (Disc 2),4,Watching over Me
05 - angels holocaust.flac,Iced Earth,Alive in Athens (Disc 2),5,Angels Holocaust
06 - stormrider.flac,Iced Earth,Alive in Athens (Disc 2),6,Stormrider
07 - path i choose.flac,Iced Earth,Alive in Athens (Disc 2),7,Path I Choose
08 - i died for you.flac,Iced Earth,Alive in Athens (Disc 2),8,I Died for You
09 - prophecy.flac,Iced Earth,Alive in Athens (Disc 2),9,Prophecy
10 - birth of the wicked.flac,Iced Earth,Alive in Athens (Disc 2),10,Birth of the Wicked
11 - the coming curse.flac,Iced Earth,Alive in Athens (Disc 2),11,The Coming Curse
12 - iced earth.flac,Iced Earth,Alive in Athens (Disc 2),12,Iced Earth
